Age,Gender,Occupation,What is your monthly income?,Which of the following brands of sportswear do you prefer?,Why do you choose the brand over others?,What type of products do you buy most often?,How much money do you usually spend on the brands selected?,What colour do you usually prefer to buy?,How often do you buy sportswear?,What is the purpose of your activewear?,Will you repurchase if the price of the products you purchased have increases?,Are you loyal to the same brand of sportswear when purchasing?,"Does the ""brand image"" affect your buying decision?",Does the brand ambassador affect your buying decision?,What do you consider the most influential motive when you purchase a sports clothing item?,What factors influenced you to switch brands?,Where do you usually buy sportswear?,Where do you seek information considering available offers of sportswear?,adjusted_age
22,Female,Employee,RM 2501 - RM 4849,Nike,Quality,T-shirts,RM 500 - RM 749,Both accepted,Never,Walking,No,Yes,Yes,No,Other purpose (eg. for warmth),Quality,As often in regular shops as on the Internet,From friends or family,21-30
21,Female,Student,Below RM 2500,Nike,Quality,Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per year,Running,Yes,No,Yes,No,Comfy,Promotions,Always in regular shops,Internet forums / Discussion groups,21-30
48,Male,Employee,RM 4850 - RM 10959,Asics,Quality,T-shirts,RM 250 - RM 499,Both accepted,Once every 6 months,Walking,No,No,No,No,Price,Promotions,Always in regular shops,From friends or family,41-50
66,Male,Other,Below RM 2500,Adidas,Quality,Shorts,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once per year,Walking,No,No,Yes,No,Price,Quality,Always in regular shops,From friends or family,Above 50
36,Male,Self-employed,RM 4850 - RM 10959,Adidas,Quality,T-shirts;Sport Shoes;Caps,RM 0 - RM 249,Light colour - White / Pink / Yellow / etc,Once per year,Running,No,No,Yes,No,Flexibility,Design,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,31-40
17,Male,Student,Below RM 2500,Nike,Stylish,Shorts;Sport Shoes;Caps,RM 0 - RM 249,Both accepted,Once per year,Walking,No,No,Yes,No,Fashionable,Design,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,15-20
60,Female,Other,Below RM 2500,Nike,Quality,T-shirts;Shorts;Bags,RM 0 - RM 249,Both accepted,Once per year,Walking,No,No,Yes,No,Price,Design,"Usually in regular shops, occasionally on the Internet",From friends or family,Above 50
44,Male,Self-employed,RM 4850 - RM 10959,Nike,Quality,T-shirts;Sport Shoes;Caps,RM 0 - RM 249,Light colour - White / Pink / Yellow / etc,Once per year,Running,No,No,Yes,No,Flexibility,Design,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,41-50
56,Male,Self-employed,RM 10960 - RM 15039,Nike,Quality,T-shirts;Sport Shoes;Caps,RM 500 - RM 749,Both accepted,Once every 6 months,Walking,Yes,No,Yes,No,Fashionable,Design,"Usually in regular shops, occasionally on the Internet",Websites of producers,Above 50
28,Male,Employee,RM 4850 - RM 10959,Asics,Quality,Sport Shoes;Bags,RM 250 - RM 499,Light colour - White / Pink / Yellow / etc,Once per month,Gym,No,Yes,No,Yes,Comfy,Promotions,"Usually in regular shops, occasionally on the Internet",Internet forums / Discussion groups,21-30
30,Male,Employee,RM 2501 - RM 4849,Adidas,Quality,Sport Shoes;Caps;Bags,RM 500 - RM 749,Light colour - White / Pink / Yellow / etc,Several times per month,Running,Yes,No,Yes,Yes,Flexibility,Promotions,As often in regular shops as on the Internet,Websites of producers,21-30
